scenario,model,concurrency,attempted_requests,successful_requests,failed_requests,error_rate,duration_seconds,requests_per_second,aggregate_output_tokens_per_second,mean_request_output_tokens_per_second,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
c1,Qwen/Qwen2.5-0.5B-Instruct,1,50,50,0,0.0,61.776,0.809,103.6,104.785,23.419,23.378,24.134,24.51,1235.504,1233.317,1247.492,1262.8
c2,Qwen/Qwen2.5-0.5B-Instruct,2,50,50,0,0.0,31.233,1.601,204.912,104.016,28.288,25.587,33.472,33.962,1249.287,1248.99,1256.396,1260.641
c4,Qwen/Qwen2.5-0.5B-Instruct,4,50,50,0,0.0,16.365,3.055,391.079,103.456,31.566,34.14,35.07,35.167,1259.162,1259.883,1265.666,1265.671
c8,Qwen/Qwen2.5-0.5B-Instruct,8,50,50,0,0.0,8.902,5.617,718.975,102.426,34.187,35.225,37.035,37.273,1274.131,1273.068,1279.836,1280.165
c16,Qwen/Qwen2.5-0.5B-Instruct,16,50,50,0,0.0,5.564,8.986,1150.242,101.262,179.374,40.322,503.719,503.964,1434.37,1293.387,1749.119,1750.374
